title,year,director,duration,cast,genre
Julie & Julia,2009,Nora Ephron,123,"Meryl Streep, Amy Adams, Stanley Tucci",Costume Romance  •  Drama  •  Gay and Lesbian Film
Seabiscuit,2003,Gary Ross,141,"Tobey Maguire, Jeff Bridges, Elizabeth Banks",Based-on-21st-Century-Literature  •  Based-on-a-True-Story  •  Biopic
Terror Train,1980,Roger Spottiswoode,97,"Jamie Lee Curtis, Derek McKinnon, Ben Johnson",Based-on-21st-Century-Literature  •  Based-on-a-True-Story  •  Drama
The Kite Runner,2007,Marc Forster,128,"Homayoun Ershadi, Zekiria Ebrahimi, Ali Danish Bakhty Ari",Canuxploitation  •  Horror  •  Slasher Film
The Agony and the Ecstasy,1965,Carol Reed,138,"Charlton Heston, Adolfo Celi, Venantino Venantini",Based-on-21st-Century-Literature  •  Drama  •  Psychological Drama
Bright Star,2009,Jane Campion,119,"Abbie Cornish, Kerry Fox, Paul Schneider",Based-on-a-True-Story  •  Biopic  •  Drama
The Hard Way,1991,John Badham,111,"Michael J. Fox, James Woods, Annabella Sciorra",Costume Romance  •  Drama  •  Period Film
Winnie the Pooh,2011,"Stephen J. Anderson, Don Hall",80,"John Cleese, Jim Cummings, Craig Ferguson",Action Comedy  •  Action  •  Buddy Film
She's Gotta Have It,1986,Spike Lee,88,"Tommy Redmond Hicks, Spike Lee, Raye Dowell",Animation  •  Based-on-20th-Century-Literature  •  Family
Room Service,1938,William A. Seiter,78,"Groucho Marx, Chico Marx, Harpo Marx",Comedy  •  Romance  •  Romantic Comedy
The Road to El Dorado,2000,Bibo Bergeron,89,"Kenneth Branagh, Kevin Kline, Rosie Perez",Comedy  •  Slapstick
Ghostbusters: Afterlife,2021,Jason Reitman,124,"Mckenna Grace, Finn Wolfhard, Carrie Coon",Adventure  •  Animation  •  Buddy Film
The Black Hole,1979,Gary Nelson,98,"Maximilian Schell, Anthony Perkins, Robert Forster",Adventure Comedy  •  Adventure  •  Comedy
The Autopsy of Jane Doe,2016,André Øvredal,99,"Brian Cox, Emile Hirsch, Olwen Catherine Kelly",Action  •  Adventure  •  Cyborg / Android / Robot
The War Wagon,1967,Burt Kennedy,96,"John Wayne, Kirk Douglas, Keenan Wynn",Horror  •  Mystery  •  Supernatural Horror
Phoenix,2014,Christian Petzold,98,"Nina Hoss, Ronald Zehrfeld, Nina Kunzendorf",Action  •  Caper  •  Traditional Western
Looking for Mr. Goodbar,1977,Richard Brooks,135,"Diane Keaton, Tuesday Weld, William Atherton",Drama  •  Foreign Language Film
The Pilgrim,1923,Charles Chaplin,59,"Charles Chaplin, Edna Purviance, Kitty Bradbury",Based-on-20th-Century-Literature  •  Drama  •  Feminist Film
Fido,2006,Andrew Currie,100,"Carrie-Anne Moss, Billy Connolly, Dylan Baker",Comedy  •  Silent Film
Enron: The Smartest Guys in the Room,2005,Alex Gibney,110,Peter Coyote,Canuxploitation  •  Comedy  •  Horror Comedy
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Jeff Rowe, Kyler Spears",99,"Nicolas Cantu, Brady Noon, Micah Abbey",Biography  •  Culture and Society  •  Documentary
Doc Hollywood,1991,Michael Caton-Jones,104,"Michael J. Fox, Julie Warner, Barnard Hughes",Action  •  Animation  •  Based-on-Comics
Into the Night,1985,John Landis,115,"Jeff Goldblum, Michelle Pfeiffer, Richard Farnsworth",Americana  •  Comedy of Manners  •  Comedy
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi, Leiji Matsumoto",68,"Romanthony, Thomas Bangalter",Action  •  Action Comedy  •  Action Thriller
Violent Cop,1989,Takeshi Kitano,103,"Takeshi Kitano, Maiko Kawakami, Makoto Ashikawa",Adventure  •  Animated Musical  •  Animation
Tom Jones,1963,Tony Richardson,121,"Albert Finney, Hugh Griffith, Joan Greenwood",Crime Drama  •  Crime  •  Drama
The Crazies,2010,Breck Eisner,101,"Timothy Olyphant, Radha Mitchell, Joe Anderson",Adventure Comedy  •  Adventure  •  Based-on-18th-Century-Literature
Mansfield Park,1999,Patricia Rozema,112,"Embeth Davidtz, James Purefoy, Hannah Taylor-Gordon",Action Thriller  •  Action  •  Escape Film
Stanley Kubrick: A Life in Pictures,2001,Jan Harlan,142,"Katharina Kubrick, Malcolm McDowell, Tom Cruise",Based-on-19th-Century-Literature  •  Comedy Drama  •  Costume Romance
Paperman,2012,John Kahrs,6,"John Kahrs, Jeff Turley, Kari Wahlgren",Biography  •  Documentary  •  Media Documentary
House of Frankenstein,1944,Erle C. Kenton,71,"Boris Karloff, Lon Chaney Jr., J. Carrol Naish",Animation  •  Cartoon  •  Comedy
Extreme Prejudice,1987,Walter Hill,104,"Nick Nolte, Powers Boothe, Michael Ironside",Fantasy  •  Horror  •  Monster Film
The Day of the Locust,1975,John Schlesinger,144,"Karen Black, William Atherton, Burgess Meredith",Action Thriller  •  Action  •  Crime Thriller
Snake in the Eagle's Shadow,1978,Woo-ping Yuen,90,"Jackie Chan, Siu-Tin Yuen, Hark-On Fung",Drama  •  New Hollywood  •  Satire
I Want to Live!,1958,Robert Wise,120,"Susan Hayward, Simon Oakland, Virginia Vincent",Action Comedy  •  Action  •  Comedy
The Housemaid,1960,Ki-young Kim,111,"Eun-shim Lee, Jeung-nyeo Ju, Jin Kyu Kim",Based-on-a-True-Story  •  Biopic  •  Courtroom Drama
The Indian Runner,1991,Sean Penn,127,"Viggo Mortensen, Patricia Arquette, Dennis Hopper",Drama  •  Foreign Language Film  •  Melodrama
Porky's,1981,Bob Clark,94,"Wyatt Knight, Roger Wilson, Dan Monahan",Drama  •  Family Drama
Shortbus,2006,John Cameron Mitchell,101,"Lindsay Beamish, Alan Mandell, Adam Hardman",Comedy  •  Coming-of-Age  •  Sex Comedy
Suicide Club,2001,Sion Sono,99,"Ryo Ishibashi, Masatoshi Nagase, Tamao Sato",Comedy Drama  •  Drama  •  Ensemble Film
The Greatest Showman,2017,Michael Gracey,105,"Hugh Jackman, Zac Efron, Michelle Williams",Foreign Language Film  •  Horror  •  Mystery
Show Boat,1936,James Whale,113,"Irene Dunne, Allan Jones, Charles Winninger",Based-on-a-True-Story  •  Biopic  •  Drama
The Soft Skin,1964,François Truffaut,119,"Jean Desailly, Françoise Dorléac, Nelly Benedetti",Based-on-Theatre  •  Comedy  •  Costume Romance
Electra Glide in Blue,1973,James William Guercio,114,"Robert Blake, Jeannine Riley, Billy Green Bush",Drama  •  Foreign Language Film  •  French New Wave
Bulworth,1998,Warren Beatty,108,"Halle Berry, Warren Beatty, Oliver Platt",Biker Film  •  Crime Drama  •  Crime
U.S. Marshals,1998,Stuart Baird,131,"Tommy Lee Jones, Wesley Snipes, Robert Downey Jr.",Americana  •  Comedy  •  Media Satire
Seven Beauties,1975,Lina Wertmüller,115,"Giancarlo Giannini, Fernando Rey, Shirley Stoler",Action  •  Action Thriller  •  Chase Movie
From Hell,2001,"Albert Hughes, Allen Hughes",122,"Johnny Depp, Heather Graham, Ian Holm",Black Comedy  •  Comedy Drama  •  Drama
The Whole Nine Yards,2000,Jonathan Lynn,98,"Matthew Perry, Bruce Willis, Amanda Peet",Based-on-a-True-Story  •  Based-on-Comics  •  Costume Horror
Midnight in the Garden of Good and Evil,1997,Clint Eastwood,155,"John Cusack, Jack Thompson, Kevin Spacey",Black Comedy  •  Comedy  •  Crime Comedy
The Harder They Come,1972,Perry Henzell,120,"Jimmy Cliff, Janet Bartley, Carl Bradshaw",Comedy Drama  •  Crime Drama  •  Crime
"Duck! Rabbit, Duck!",1953,Chuck Jones,7,"Mel Blanc, Arthur Q. Bryan",Crime Drama  •  Crime  •  Drama
Days of Thunder,1990,Tony Scott,107,"Nicole Kidman, Randy Quaid, Cary Elwes",Animation  •  Cartoon  •  Comedy
Fahrenheit 9/11,2004,Michael Moore,122,"Michael Moore, George W. Bush, Al Gore",Drama  •  Romance  •  Romantic Drama
Sunshine Cleaning,2008,Christine Jeffs,91,"Amy Adams, Emily Blunt, Alan Arkin",Culture and Society  •  Documentary  •  Politics and Government
A Special Day,1977,Ettore Scola,110,"Sophia Loren, Marcello Mastroianni, John Vernon",Comedy Drama  •  Drama  •  Female-Directed Film
Phantom of the Opera,1943,Arthur Lubin,92,"Nelson Eddy, Susanna Foster, Claude Rains",Drama  •  Foreign Language Film  •  Political Drama
Love & Basketball,2000,Gina Prince-Bythewood,124,"Boris Kodjoe, Sanaa Lathan, Omar Epps",Costume Horror  •  Drama  •  Gothic Film
The City of the Dead,1960,John Llewellyn Moxey,78,"Dennis Lotis, Christopher Lee, Patricia Jessell",Coming-of-Age  •  Drama  •  Female-Directed Film
Tekkonkinkreet,2006,Michael Arias,111,"Min Tanaka, Yoshinori Okada, Nao Omori",Gothic Film  •  Horror  •  Supernatural Horror
Godzilla vs. King Ghidorah,1991,Kazuki Ohmori,103,"Kosuke Toyohara, Anna Nakagawa, Megumi Odaka",Action  •  Adventure  •  Animation
The Holiday,2006,Nancy Meyers,138,"Kate Winslet, Jude Law, Jack Black",Action  •  Adventure Drama  •  Adventure
Carefree,1938,Mark Sandrich,83,"Fred Astaire, Ginger Rogers, Ralph Bellamy",Comedy Drama  •  Female-Directed Film  •  Holiday Film
About Elly,2009,Asghar Farhadi,119,"Golshifteh Farahani, Taraneh Alidoosti, Shahab Hosseini",Comedy  •  Musical Comedy  •  Musical Romance
Bumblebee,2018,Travis Knight,117,"Hailee Steinfeld, Justin Theroux, Jorge Lendeborg Jr.",Drama  •  Foreign Language Film  •  Iranian New Wave
The Last Castle,2001,Rod Lurie,131,"Robert Redford, Mark Ruffalo, Delroy Lindo",Action  •  Adventure  •  Alien Invasion Films
Solaris,2002,Steven Soderbergh,99,"George Clooney, Natascha McElhone, Jeremy Davies",Action  •  Action Thriller  •  Prison Film
The Lusty Men,1952,"Nicholas Ray, Robert Parrish",113,"Arthur Kennedy, Susan Hayward, Robert Mitchum",Based-on-20th-Century-Literature  •  Drama  •  Marriage Drama
Owning Mahowny,2003,Richard Kwietniowski,104,"Ian Tracey, John Hurt, Philip Seymour Hoffman",Action  •  Drama  •  Western
This Film Is Not Yet Rated,2006,Kirby Dick,97,"Kimberly Peirce, Kevin Smith, Matt Stone",Addiction Drama  •  Crime Drama  •  Crime
The Emerald Forest,1985,John Boorman,114,"Powers Boothe, Meg Foster, Charley Boorman",Documentary  •  Media Documentary
The Ninth Configuration,1980,William Peter Blatty,118,"Stacy Keach, Scott Wilson, Jason Miller",Adventure  •  Adventure Drama  •  Drama
Breakfast on Pluto,2005,Neil Jordan,135,"Cillian Murphy, Stephen Rea, Brendan Gleeson",Based-on-20th-Century-Literature  •  Comedy Drama  •  Comedy Thriller
Taste the Blood of Dracula,1970,Peter Sasdy,91,"Christopher Lee, Geoffrey Keen, Gwen Watford",Comedy Drama  •  Cross-Dressing / Gender-Bending  •  Period Film
Unleashed,2005,Louis Leterrier,103,"Bob Hoskins, Kerry Condon, Morgan Freeman",Costume Horror  •  Horror  •  Monster Film
Can You Ever Forgive Me?,2018,Marielle Heller,90,"Melissa McCarthy, Alice Kremelberg, Richard E. Grant",Action  •  Martial Arts
Cry Freedom,1987,Richard Attenborough,157,"Alec McCowen, Josette Simon, Miles Anderson",Based-on-21st-Century-Literature  •  Based-on-a-True-Story  •  Biopic
Zazie dans le métro,1960,Louis Malle,89,"Catherine Demongeot, Philippe Noiret, Hubert Deschamps",Based-on-a-True-Story  •  Biopic  •  Drama
Little Voice,1998,Mark Herman,97,"Jane Horrocks, Jim Broadbent, Ewan McGregor",Absurd Comedy  •  Avant-garde / Experimental  •  Comedy
Kiss Me Kate,1953,George Sidney,109,"Kathryn Grayson, Howard Keel, Ann Miller",Based-on-Theatre  •  Drama  •  Family Drama
King Kong vs. Godzilla,1962,Ishirô Honda,91,"Tadao Takashima, Kenji Sahara, Yu Fujiki",Based-on-Shakespeare  •  Based-on-Theatre  •  Comedy
Hesher,2010,Spencer Susser,100,"Joseph Gordon-Levitt, Natalie Portman, Rainn Wilson",Action  •  Adventure  •  Comedy
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,Shusuke Kaneko,105,"Chiharu Niiyama, Ryûdô Uzaki, Masahiro Kobayashi",Coming-of-Age  •  Drama  •  Family Drama
Return of the Living Dead Part II,1988,Ken Wiederhorn,89,"Thom Mathews, Michael Kenworthy, Dana Ashbrook",Action  •  Action Thriller  •  Fantasy
2 Days in Paris,2007,Julie Delpy,96,"Julie Delpy, Adam Goldberg, Daniel Brühl",Black Comedy  •  Horror Comedy  •  Horror
'Round Midnight,1986,Bertrand Tavernier,133,"Dexter Gordon, François Cluzet, Gabrielle Haker",Comedy  •  Female-Directed Film  •  Romance
Equinox Flower,1958,Yasujirô Ozu,118,"Shina Saburi, Kinuyo Tanaka, Ineko Arima",Drama  •  Musical Drama  •  Musical
The Beastmaster,1982,Don Coscarelli,118,"Marc Singer, Tanya Roberts, Rip Torn",Comedy Drama  •  Domestic Comedy  •  Drama
Save the Tiger,1973,John G. Avildsen,100,"Jack Lemmon, Norman Burton, Patricia Smith",Adventure  •  Fantasy  •  Fantasy Adventure
Dracula Has Risen from the Grave,1968,Freddie Francis,92,"Christopher Lee, Rupert Davies, Veronica Carlson",Drama  •  New Hollywood  •  Psychological Drama
Paradise Lost 3: Purgatory,2011,"Joe Berlinger, Bruce Sinofsky",121,"Damien Wayne Echols, Jason Baldwin, Jessie Miskelly",Costume Horror  •  Gothic Film  •  Horror
Phantom Lady,1944,Robert Siodmak,87,"Franchot Tone, Ella Raines, Alan Curtis",Biography  •  Culture and Society  •  Documentary
The Day the Earth Caught Fire,1961,Val Guest,98,"Janet Munro, Leo McKern, Edward Judd",Film Noir  •  Mystery  •  Psychological Thriller
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,Robert Altman,123,"Paul Newman, Joel Grey, Allan Nicholls",Apocalyptic Film  •  Disaster Film  •  Drama
Gomorrah,2008,Matteo Garrone,137,"Gigio Morra, Gianfelice Imparato, Marco Macor",Comedy  •  Comedy Western  •  New Hollywood
The Wind and the Lion,1975,John Milius,119,"Sean Connery, Brian Keith, Steve Kanaly",Crime Drama  •  Crime  •  Drama
Friendly Persuasion,1956,William Wyler,137,"Gary Cooper, Dorothy McGuire, Anthony Perkins",Adventure  •  Costume Adventure  •  Historical Film
Da 5 Bloods,2020,Spike Lee,154,"Delroy Lindo, Jonathan Majors, Norm Lewis",Americana  •  Based-on-20th-Century-Literature  •  Drama
Copycat,1995,Jon Amiel,123,"Sigourney Weaver, Harry Connick Jr., Holly Hunter",Direct-to-Stream  •  Drama  •  War Drama
Let It Be,1970,Michael Lindsay-Hogg,80,"The Beatles, Yoko Ono, Michael Lindsay-Hogg",Mystery  •  Police Detective Film  •  Psychological Thriller
Eddie the Eagle,2016,Dexter Fletcher,105,"Taron Egerton, Hugh Jackman, Christopher Walken",Biography  •  Concert Film  •  Documentary
Memories,1995,"Kōji Morimoto, Katsuhiro Ohtomo, Tensai Okamura",113,"Shigeru Chiba, Hisao Egawa, Kayoko Fujii",Based-on-a-True-Story  •  Biopic  •  Drama
The Jungle Book,2016,Jon Favreau,105,"Neel Sethi, Bill Murray, Ben Kingsley",Action  •  Adventure  •  Animation
The Village,2004,M. Night Shyamalan,108,"Bryce Dallas Howard, William Hurt, Joaquin Phoenix",Action  •  Adventure Drama  •  Adventure
The Missouri Breaks,1976,Arthur Penn,126,"Marlon Brando, Jack Nicholson, Harry Dean Stanton",Drama  •  Mystery  •  Psychological Thriller
The Sorrow and the Pity,1969,Marcel Ophüls,251,"Pierre Mendes-France, Christian de la Maziere, Anthony Eden",New Hollywood  •  Revisionist Western  •  Western
The Red Badge of Courage,1951,John Huston,69,"Douglas Dick, Arthur Hunnicutt, Audie Murphy",Documentary  •  History  •  Made-for-Television
Hush,2016,Mike Flanagan,87,"John Gallagher Jr., Kate Siegel, Michael Trucco",Based-on-19th-Century-Literature  •  Drama  •  War
Mighty Joe Young,1949,Ernest B. Schoedsack,94,"Terry Moore, Ben Johnson, Robert Armstrong",Home Invasion Film  •  Horror  •  Thriller
Rent,2005,Chris Columbus,135,"Adam Pascal, Wilson Jermaine Heredia, Idina Menzel",Adventure  •  Adventure Drama  •  Animal Picture
Damien: Omen II,1978,Don Taylor,107,"William Holden, Lee Grant, Robert Foxworth",Based-on-Theatre  •  Drama  •  Musical Drama
The Dream Team,1989,Howard Zieff,113,"Michael Keaton, Christopher Lloyd, Peter Boyle",Horror  •  Mystery  •  Religious Horror
Love Story,1970,Arthur Hiller,99,"Ali MacGraw, John Marley, Ray Milland",Comedy  •  Satire
Boy,2010,Taika Waititi,87,"James Rolleston, Taika Waititi, Te Aho Aho Eketone-Whitu",Drama  •  Melodrama  •  New Hollywood
Cobra,1986,George P. Cosmatos,87,"Sylvester Stallone, Reni Santoni, Art La Fleur",Comedy Drama  •  Coming-of-Age  •  Drama
Cashback,2006,Sean Ellis,102,"Emilia Fox, Michelle Ryan, Michael Dixon",Action  •  Action Thriller  •  Chase Movie
Imagine: John Lennon - The Definitive Film Portrait,1988,Andrew Solt,100,"Desire de Freitas, Jane Forth, Al Capp",Comedy  •  Fantasy Comedy  •  Magic Realism
Airheads,1994,Michael Lehmann,92,"Brendan Fraser, Steve Buscemi, Adam Sandler",Biography  •  Documentary  •  History
Pale Flower,1964,Masahiro Shinoda,96,"Ryô Ikebe, Mariko Kaga, Takashi Fujiki",Comedy  •  Crime Comedy  •  Showbiz Comedy
Kong: Skull Island,2017,Jordan Vogt-Roberts,118,"Tom Hiddleston, Brie Larson, Samuel L. Jackson",Crime Drama  •  Crime Thriller  •  Crime
Jin-Roh: The Wolf Brigade,1999,Hiroyuki Okiura,102,"Yoshikazu Fujiki, Sumi Mutoh, Hiroyuki Kinosha",Action  •  Adventure  •  Fantasy Adventure
God Bless America,2011,Bobcat Goldthwait,90,"Joel Murray, Tara Lynne Barr, Mackenzie Brooke Smith",Animation  •  Anime  •  Based-on-Comics
